Order Item Id,Category Name,Customer Country,Customer Segment,Customer State,Department Name,Latitude,Longitude,Order Country,order date (DateOrders),Order Item Discount Rate,Order Item Profit Ratio,Order Item Quantity,Order Region,Order State,Order Status,Product Price,Shipping Mode,Delivery Status
180517,40,1,0,36,4,18.2514534,-66.03705597,70,17562.955555555556,0.039999999,0.289999992,0,15,475,2,327.75,3,0
179254,40,1,0,36,4,18.27945137,-66.0370636,69,17544.51875,0.050000001,-0.800000012,0,13,841,5,327.75,3,1
179253,40,0,0,5,4,37.29223251,-121.881279,69,17544.504166666666,0.059999999,-0.800000012,0,13,841,1,327.75,3,3
179252,40,0,2,5,4,34.12594605,-118.2910156,8,17544.489583333332,0.07,0.079999998,0,11,835,2,327.75,3,0
179251,40,1,1,36,4,18.25376892,-66.03704834,8,17544.475000000002,0.090000004,0.449999988,0,11,835,6,327.75,3,0
179250,40,0,0,31,4,43.01396942,-78.87906647,8,17544.460416666665,0.100000001,0.059999999,0,11,835,0,327.75,3,2
179249,40,1,2,36,4,18.24253845,-66.03705597,31,17544.445833333335,0.119999997,0.330000013,0,7,386,2,327.75,0,1
179248,40,0,1,10,4,25.92886925,-80.16287231,31,17544.431249999998,0.129999995,0.239999995,0,7,386,7,327.75,0,1
179247,40,1,1,36,4,18.23322296,-66.03705597,31,17544.416666666668,0.150000006,0.479999989,0,7,386,1,327.75,2,1
179246,40,0,1,5,4,37.77399063,-121.966629,31,17544.402083333334,0.159999996,0.479999989,0,7,386,1,327.75,0,1
179245,40,1,1,36,4,18.28284454,-66.03705597,77,17544.3875,0.170000002,0.479999989,0,7,999,8,327.75,2,2
179244,40,0,0,31,4,40.65486527,-73.58707428,70,17544.372916666667,0.180000007,0.170000002,0,15,267,5,327.75,2,1
179243,40,0,1,5,4,36.6763382,-121.656517,70,17544.358333333334,0.200000003,0.079999998,0,15,267,5,327.75,2,1
179242,40,1,1,36,4,18.27843857,-66.03705597,69,17544.34375,0.25,0.100000001,0,13,610,2,327.75,0,1
179241,40,0,1,20,4,42.52627564,-70.92703247,69,17544.329166666666,0.0,0.050000001,0,13,610,7,327.75,0,1
179240,40,1,1,36,4,18.28404999,-66.03705597,69,17544.314583333333,0.01,-0.800000012,0,13,610,2,327.75,0,1
179239,40,1,1,36,4,18.3957901,-65.87288666,34,17544.3,0.02,-0.769999981,0,7,910,6,327.75,2,1
179238,40,0,1,5,4,33.89869309,-118.1745605,69,17544.285416666666,0.029999999,0.079999998,0,13,606,1,327.75,0,1
179237,40,1,0,36,4,18.233778,-66.0370636,69,17544.270833333332,0.039999999,0.330000013,0,13,606,2,327.75,0,1
179236,40,0,0,15,4,42.04830551,-87.96134186,69,17544.256250000002,0.050000001,0.280000001,0,13,606,6,327.75,1,3
179235,40,0,1,5,4,33.78245163,-118.1922455,69,17544.241666666665,0.059999999,0.5,0,13,606,7,327.75,1,3
179234,40,1,1,36,4,18.28337669,-66.03705597,69,17544.227083333335,0.07,0.270000011,0,13,606,5,327.75,3,1
179233,40,0,1,5,4,38.61177445,-121.2828674,8,17544.212499999998,0.090000004,0.079999998,0,11,1033,5,327.75,2,1
179232,40,1,1,36,4,18.20733643,-66.03705597,8,17544.197916666668,0.100000001,0.059999999,0,11,1033,0,327.75,2,2
179231,40,0,1,25,4,45.78831101,-108.5594101,8,17544.183333333334,0.119999997,0.310000002,0,11,835,8,327.75,2,2
179230,40,1,1,36,4,18.26163292,-66.03705597,8,17544.16875,0.129999995,0.460000008,0,11,87,2,327.75,2,1
179229,40,0,0,35,4,41.23545456,-75.86985779,8,17544.154166666667,0.150000006,0.330000013,0,11,87,5,327.75,2,1
179228,40,1,1,36,4,18.27022362,-66.0370636,31,17544.139583333334,0.159999996,0.300000012,0,7,387,6,327.75,3,3
179227,40,0,1,22,4,41.86886215,-84.57365418,31,17544.125,0.170000002,-0.059999999,0,7,387,2,327.75,3,0
179226,40,0,0,5,4,33.90942383,-118.1253586,31,17544.110416666666,0.180000007,0.090000004,0,7,387,7,327.75,3,0
179225,40,1,0,36,4,18.27526093,-66.0370636,31,17544.095833333333,0.200000003,0.280000001,0,7,387,3,327.75,3,1
179224,40,0,0,15,4,41.86544037,-88.10990143,69,17544.08125,0.25,0.460000008,0,13,280,2,327.75,3,1
179223,40,1,0,36,4,18.28713608,-66.03705597,69,17544.066666666666,0.0,0.079999998,0,13,280,6,327.75,3,3
179222,40,0,0,22,4,42.39110184,-83.13121796,31,17544.052083333332,0.01,-0.300000012,0,7,358,2,327.75,0,1
